"YEAR","AREA_LTE2_KM2","AREA_LTE1_KM2","AREA_LTE0_KM2","AREA_LTEMINUS1_KM2","MEAN_GEAR_TEMPERATURE","MEAN_BT_LT100M","MEAN_SURFACE_TEMPERATURE","LAST_UPDATE"
1982,211175,104950,20800,425,2.23005930793237,1.86499279912821,5.59479102264221,2023-02-02
1983,161525,65425,19450,750,2.90901554577791,3.04336399005058,8.59759228039068,2023-02-02
1984,207575,129700,69625,17650,2.29064961648107,2.07685875067415,7.26544513151546,2023-02-02
1985,205000,96125,35200,11500,2.36162312702052,2.33079117617093,6.61438008410566,2023-02-02
1986,257925,151500,71125,28975,1.79540956461895,1.56782499099755,5.7206145218537,2023-02-02
1987,94475,35675,6400,0,3.06977678629976,3.15009990218954,6.84923645556184,2023-02-02
1988,205925,106000,57175,20725,2.22655135972054,2.22513906270536,6.64713290368447,2023-02-02
1989,106025,21975,7450,0,2.86845989553449,2.94077327638941,6.79052540318643,2023-02-02
1990,177500,106075,68325,28025,2.27410884713109,2.37244348538141,7.17227244531624,2023-02-02
1991,174350,105150,63000,23550,2.49568505931489,2.82546263800727,7.85548413327267,2023-02-02
1992,242025,172500,102450,48400,1.81956350739161,1.67586350763664,6.89442915768955,2023-02-02
1993,133375,49475,18450,4875,2.97700310803085,3.13182626734915,7.14521283623998,2023-02-02
1994,259900,166750,120100,82625,1.52180241442679,1.41157756658858,5.61113986691881,2023-02-02
1995,274275,187750,100725,61325,1.58705253400105,1.48252945195722,6.09338900845483,2023-02-02
1996,99325,40100,13275,600,3.31024450767818,3.35379137714761,6.68638218309735,2023-02-02
1997,173125,81175,35600,13300,2.65305248392375,2.57755507459009,7.90284350114614,2023-02-02
1998,100625,19625,4500,0,3.17251901356479,3.43234110071349,7.50683569393986,2023-02-02
1999,385975,304950,162575,61100,0.701681508469807,0.322934576213202,3.88515502398806,2023-02-02
2000,236925,88850,32375,16200,2.00929655292268,2.01586760608715,6.2313771191017,2023-02-02
2001,175550,71325,31275,11925,2.44266788991106,2.41853451491763,5.85825187536921,2023-02-02
2002,101575,30175,14650,1850,3.06163864674362,3.30981532120528,6.9193288950685,2023-02-02
2003,46900,14025,4950,0,3.69808603537522,3.78110453802174,7.83302441345266,2023-02-02
2004,89500,46325,21525,6950,3.24528859944839,3.41634460675959,8.43167410433214,2023-02-02
2005,85700,50350,27700,12875,3.32364011911277,3.47811239357023,7.19416291097935,2023-02-02
2006,244375,145725,101425,55300,1.7246733124015,1.49864958301589,5.63288189398804,2023-02-02
2007,281100,178225,87550,47400,1.67928921505102,1.51886394396189,6.46446276868513,2023-02-02
2008,345200,213075,97900,57525,1.17969474416837,0.969212879383187,4.28341135516585,2023-02-02
2009,320075,197050,139775,54950,1.26927924735927,1.03963980381037,4.67819825878411,2023-02-02
2010,269125,181500,130775,64425,1.44309144293362,0.98789380590508,5.32046208950302,2023-02-02
2011,167875,87000,37625,8175,2.35941933143658,2.29921528965457,5.06730736314593,2023-02-02
2012,368825,270975,155150,68975,0.916740183829466,0.683749024925523,5.05336110231708,2023-02-02
2013,258450,163200,92825,57200,1.73068728871585,1.64043927242481,6.38418799849359,2023-02-02
2014,128100,73775,35000,9275,3.05044662807216,3.29872537812285,8.21330925032015,2023-02-02
2015,122600,89575,62575,29025,3.18268598949526,3.35300554570629,7.17561294009742,2023-02-02
2016,89225,31925,19350,8225,4.22574310061707,4.86591201539803,9.54533464494379,2023-02-02
2017,169150,99975,39050,14025,2.70006720334727,2.58291156591373,7.95724015784092,2023-02-02
2018,6150,0,0,0,4.15605877027997,4.50496905131535,7.58369459849542,2023-02-02
2019,26625,8100,550,0,4.37112712802937,4.86891623492371,9.21855408790274,2023-02-02
2021,58975,14925,4800,0,3.34857822914665,3.6278237210933,7.21289000885803,2023-02-02
2022,178625,107300,45000,12075,2.56078171577331,2.65087371412604,7.46154942765486,2023-02-02
