"STRATUM","AREA","RECALCULATED_AREA","RATIO"
11,4012.41,4012.40885623208,0.999999714942412
12,4062.77,4062.77379036738,1.0000009329515
13,1741.66,1741.65551719531,0.999997426130994
14,1354.74,1354.74033871879,1.00000025002494
15,1106.89,1106.8905245784,1.00000047392098
21,1157.635,1157.63473854477,0.999999774147094
22,705.075,705.074762617302,0.999999663322769
23,591.273,591.273678465888,1.00000114746638
24,552.734,552.734069664639,1.00000012603646
25,535.671,535.670661952688,0.99999936892736
31,903.783,903.783060178403,1.00000006658501
32,886.107,886.106876829928,0.999999860998647
33,910.262,910.262379533661,1.00000041694991
34,732.352,732.352270448163,1.00000036928712
35,675.523,675.522579675658,0.999999377779377
41,1236.274,1236.2740164367,1.00000001329535
42,730.35,730.350111224532,1.00000015228936
43,693.954,693.953554925799,0.999999358640197
44,707.59,707.589793010319,0.999999707472292
45,662.419,662.419111945031,1.00000016899429
51,423.712,441.315376251149,1.04154561648277
52,425.725,614.546371120596,1.44352897086287
53,431.829,582.775205686761,1.34955087705263
54,551.99,480.638807656256,0.870738251881839
55,570.139,421.936536874275,0.740059067831309
61,2595.79,2595.79197154714,1.0000007595172
62,1705.756,1705.75643086774,1.00000025259635
63,917.491,917.491421035624,1.00000045889891
64,645.173,645.172995499127,0.999999993023773
65,496.416,496.415128323408,0.999998244060239
